english,german,label
"Henry Alfred Ian Goonetilleke (known as H. A. I. Goonetileke) was a director of the University of Peradeniya library, the first chairman of the Gratiaen Trust and an eminent scholar in Sri Lanka.","Henry Alfred Ian Goonetilleke (bekannt als H. A. I. Goonetileke) war Leiter der Bibliothek der University of Peradeniya, erster Vorsitzender von Gratiaen Trust and herausragender Gelehrter in Sri Lanka.",0
"It is, of course, the same doctor, the same nurses, the same hospitals and the same resources in the health care sector which are to be used, irrespective of whether it is ordinary or private patients who are being treated.","Denn es werden ja die gleichen Menschen bei der Verarztung und in der Pflege, das gleiche Verbandsmaterial und die gleichen Mittel im Gesundheitswesen genutzt, egal ob es sich um gewöhnliche oder private von Krankheit betroffene Menschen handelt.",0
"If citizens are to feel involved in the European Union, its policies and institutions, then it is up to the Members of Parliament in particular to disclose more of the critical decisions, the contradictions, the divergent interests and projects driving the economic and social operators within the European arena.","Damit die Staatsangehörigen fühlen, dass die Europäische Union, ihre Politiken und ihre Institutionen sie etwas angehen, müssen insbesondere die Parlamentsmitglieder die Grundentscheidungen, die Widersprüche, die Interessen - und Zielkonflikte der wirtschaftlich und sozial handelnden Personen im europäischen Rahmen stärker verdeutlichen.",0
Younis was born in Ar'ara and has a bachelor's degree in nursing.,Younis wurde in Ar‘ara geboren und hat einen Bachelorabschluss in Pflege.,0
The minister is diplomatic.,Die Ressortleitung ist diplomatisch.,0
"In 2012, she became the first female surgeon in Europe to implant an artificial heart.","2012 wurde sie die erste Chirurgin in Europa, die ein künstliches Herz implantierte.",0
Sun Yafang (Chinese: 孙亚芳)  is a Chinese engineer and business executive who has served as Chairwoman of Huawei from 1999 to 2018.,"Sun Yafang (Chinesisch: 孙亚芳) ist eine chinesische Ingenieurin und Unternehmensleiterin, die von 1999 bis 2018 Vorsitzende von Huawei war.",0
"In May 2016, Zoutendijk was appointed Chairman of the Supervisory Board of ABN AMRO Group and ABN AMRO Bank.",Im Mai 2016 wurde Zoutendijk zur Vorsitzenden des Aufsichtsrats der ABN AMRO Group sowie der ABN AMRO Bank ernannt.,0
The report indicates that 66% of all jobs in the Community are in SMEs and that 80% to 90% of funding secured through venture capital is used to hire staff.,"Wir können dem Bericht auch entnehmen, dass 66% der Gesamtbeschäftigung in der Gemeinschaft auf kleine und mittlere Unternehmen zurückzuführen ist und 80 - 90% der aus Wagniskapital bereitgestellten Mittel für die Einstellung von Beschäftigten bestimmt sind.",0
The performer is charismatic.,Die Darstellerin ist charismatisch.,1
