english,german,label
"As you know, Commissioner, in its part - session of April this year, Parliament approved, at first reading, an amendment on the transitional right in its application which said that the Member States could request a transitional period from the Commission of no more than two years to adapt their accounting systems to the provisions of this regulation.","Wie Ihnen bekannt ist, Herr Kommissar, hat das Parlament auf seiner Sitzung im April dieses Jahres in erster Lesung einen Änderungsantrag bezüglich des Rechts auf einen Übergangzeitraum für die Umsetzung angenommen, dem zufolge die Mitgliedstaaten bei der Kommission einen Übergangszeitraum von bis zu zwei Jahren beantragen können, um ihr Rechnungswesen an die Bestimmungen dieser Verordnung anzupassen.",1
The laypeople are diligent.,Die Laien sind fleißig.,1
"I agree in many important respects with the previous speakers, because much of what is happening in Vietnam today is unacceptable.","Ich kann meinen Vorrednern in vielen wesentlichen Punkten zustimmen, denn vieles von dem, was heute in Vietnam passiert, ist nicht akzeptabel.",1
The project leader is diligent.,die Projektleitung ist fleißig.,0
The consumer advisors are responsible.,Die Verbraucherschützer sind verantwortlich.,1
"We Scandinavian Social Democrats have also succeeded in driving through a proposal for increased support to local and regional cooperation in the Baltic region, which now amounts to EUR 16 million.","Wir nordeuropäischen Sozialdemokraten haben auch erreicht, dass die Vorschläge für eine größere finanzielle Unterstützung für die lokale und regionale Zusammenarbeit im Ostseeraum, nunmehr 16 Millionen Euro, Akzeptanz gefunden haben.",1
Did you ever try?,Habt ihr es jemals versucht?,0
The trainers are diligent.,die Übungleiter*innen sind fleißig.,0
"It fills me with confidence that together, we have managed to save our employment initiative for local engagement, which was launched last year, because this is the initiative that supports new employment policy measures at local level, whilst involving all players, NGOs included.","Es stimmt mich zuversichtlich, dass wir gemeinsam unsere letztes Jahr ins Leben gerufene Beschäftigungsinitiative für lokales Engagement gerettet haben, weil gerade diese Initiative auf kommunaler Ebene neue beschäftigungspolitische Ansätze unterstützt, und zwar unter Einbeziehung aller aktiv Beteiligten, auch der Nichtregierungsorganisationen.",0
I thought it was a joke.,Ich hielt das für einen Scherz.,0
The addresser is intelligent.,Die Unterzeichnerin ist intelligent.,1
"Thanks to the initiative taken by the Chairman of the Committee on Petitions, Mr Gemelli, the correct legal action has been taken to amend the 1994 decision by the European Parliament.","Dank der Initiative des Parlamentmitglieds Gemelli, das den Vorsitz des Petitionsausschusses leitet, sind die entsprechenden rechtlichen Schritte zur Änderung des Beschlusses des Europäischen Parlaments von 1994 eingeleitet worden.",0
