english,german,label
Please turn in the report by the end of the month.,Bitte reichen Sie Ihren Bericht bis zum Monatsende ein!,0
Can I work here?,Kann ich hier arbeiten?,0
We really need a man like you here.,Wir brauchen hier wirklich einen Mann wie dich.,0
Tell me the reason why they are absent.,"Sage mir, warum sie nicht anwesend sind!",0
I am looking forward to visiting Britain once again.,"Ich freue mich darauf, erneut Britannien zu besuchen.",0
We have time.,Wir haben Zeit.,0
I can't go back in there.,Ich kann da nicht wieder reingehen.,0
I still prefer to write letters by hand.,Ich schreibe Briefe immer noch bevorzugt mit der Hand.,0
I have a ringing in my ears.,Ich habe ein Klingeln in meinen Ohren.,0
I bought you a present.,Ich habe dir ein Geschenk gekauft.,0
He's on his way.,Er ist unterwegs.,0
"Excuse me sir, could you spare some change?","Entschuldigen Sie, haben Sie etwas Kleingeld für mich?",0
I couldn't get another copy of the book.,Ich konnte kein weiteres Exemplar des Buches bekommen.,0
Life's purpose is to be happy.,"Der Sinn des Lebens ist es, glücklich zu sein.",0
"For here, or to go?",Zum Mitnehmen oder zum Hieressen?,0
Have you read the book yet?,Haben Sie das Buch bereits gelesen?,0
Don't judge a book by its cover.,Man soll ein Buch nicht nach seinem Einband beurteilen.,0
Do you like dogs?,Mögen Sie Hunde?,0
I don't want to tell you my dreams.,Ich möchte dir meine Träume nicht erzählen.,0
I can hardly stand it.,Ich kann es kaum aushalten.,0
How do you know when you've found the right person for the job?,"Woher weiß man, ob man die Richtige für die Aufgabe gefunden hat?",0
We arrived here in the evening.,Wir sind hier abends angekommen.,0
Have you ever been fingerprinted?,Sind euch schon einmal Fingerabdrücke abgenommen worden?,0
I met her by chance in the library.,Ich traf sie zufällig in der Bibliothek.,0
My sister is a good swimmer.,Meine Schwester ist eine gute Schwimmerin.,0
Thanks for staying with me.,"Danke, dass ihr bei mir geblieben seid!",0
The train will arrive at ten o'clock.,Der Zug kommt um 10 Uhr an.,0
Why are you undressing?,Warum zieht ihr euch aus?,0
I'd be happy to sing for you.,"Es würde mich glücklich machen, für dich zu singen.",0
