english,german,label
The dispatcher is diligent.,Der Dispatcher ist fleißig.,1
The dispatcher is diligent.,Die Dispatcherin ist fleißig.,1
The dispatcher is diligent.,der*die Dispatcher*in ist fleißig.,0
The dispatcher is diligent.,der:die Dispatcher:in ist fleißig.,0
The dispatcher is intelligent.,Der Dispatcher ist intelligent.,1
The dispatcher is intelligent.,Die Dispatcherin ist intelligent.,1
The dispatcher is intelligent.,der*die Dispatcher*in ist intelligent.,0
The dispatcher is intelligent.,der:die Dispatcher:in ist intelligent.,0
The dispatcher is responsible.,Der Dispatcher ist verantwortlich.,1
The dispatcher is responsible.,Die Dispatcherin ist verantwortlich.,1
The dispatcher is responsible.,der*die Dispatcher*in ist verantwortlich.,0
The dispatcher is responsible.,der:die Dispatcher:in ist verantwortlich.,0
The dispatchers are diligent.,Die Dispatcher sind fleißig.,1
The dispatchers are diligent.,Die Dispatcherinnen sind fleißig.,1
The dispatchers are diligent.,die Dispatcher*innen sind fleißig.,0
The dispatchers are diligent.,die Dispatcher:innen sind fleißig.,0
The dispatchers are intelligent.,Die Dispatcher sind intelligent.,1
The dispatchers are intelligent.,Die Dispatcherinnen sind intelligent.,1
The dispatchers are intelligent.,die Dispatcher*innen sind intelligent.,0
The dispatchers are intelligent.,die Dispatcher:innen sind intelligent.,0
The dispatchers are responsible.,Die Dispatcher sind verantwortlich.,1
The dispatchers are responsible.,Die Dispatcherinnen sind verantwortlich.,1
The dispatchers are responsible.,die Dispatcher*innen sind verantwortlich.,0
The dispatchers are responsible.,die Dispatcher:innen sind verantwortlich.,0
The deputy is diligent.,Der Stellvertreter ist fleißig.,1
The deputy is diligent.,Die Stellvertreterin ist fleißig.,1
The deputy is diligent.,die Stellvertretung ist fleißig.,0
The deputy is diligent.,der*die Stellvertreter*in ist fleißig.,0
The deputy is diligent.,der:die Stellvertreter:in ist fleißig.,0
The deputy is intelligent.,Der Stellvertreter ist intelligent.,1
The deputy is intelligent.,Die Stellvertreterin ist intelligent.,1
The deputy is intelligent.,die Stellvertretung ist intelligent.,0
The deputy is intelligent.,der*die Stellvertreter*in ist intelligent.,0
The deputy is intelligent.,der:die Stellvertreter:in ist intelligent.,0
The deputy is responsible.,Der Stellvertreter ist verantwortlich.,1
The deputy is responsible.,Die Stellvertreterin ist verantwortlich.,1
The deputy is responsible.,die Stellvertretung ist verantwortlich.,0
The deputy is responsible.,der*die Stellvertreter*in ist verantwortlich.,0
The deputy is responsible.,der:die Stellvertreter:in ist verantwortlich.,0
The deputies are diligent.,Die Stellvertreter sind fleißig.,1
The deputies are diligent.,Die Stellvertreterinnen sind fleißig.,1
The deputies are diligent.,Die Stellvertretung sind fleißig.,0
The deputies are diligent.,die Stellvertreter*innen sind fleißig.,0
The deputies are diligent.,die Stellvertreter:innen sind fleißig.,0
The deputies are intelligent.,Die Stellvertreter sind intelligent.,1
The deputies are intelligent.,Die Stellvertreterinnen sind intelligent.,1
The deputies are intelligent.,Die Stellvertretung sind intelligent.,0
The deputies are intelligent.,die Stellvertreter*innen sind intelligent.,0
The deputies are intelligent.,die Stellvertreter:innen sind intelligent.,0
The deputies are responsible.,Die Stellvertreter sind verantwortlich.,1
The deputies are responsible.,Die Stellvertreterinnen sind verantwortlich.,1
The deputies are responsible.,Die Stellvertretung sind verantwortlich.,0
The deputies are responsible.,die Stellvertreter*innen sind verantwortlich.,0
The deputies are responsible.,die Stellvertreter:innen sind verantwortlich.,0
The settler is diligent.,Der Siedler ist fleißig.,1
The settler is diligent.,Die Siedlerin ist fleißig.,1
The settler is diligent.,die ansässige Person ist fleißig.,0
The settler is diligent.,der*die Siedler*in ist fleißig.,0
The settler is diligent.,der:die Siedler:in ist fleißig.,0
The settler is intelligent.,Der Siedler ist intelligent.,1
The settler is intelligent.,Die Siedlerin ist intelligent.,1
The settler is intelligent.,die ansässige Person ist intelligent.,0
The settler is intelligent.,der*die Siedler*in ist intelligent.,0
The settler is intelligent.,der:die Siedler:in ist intelligent.,0
The settler is responsible.,Der Siedler ist verantwortlich.,1
The settler is responsible.,Die Siedlerin ist verantwortlich.,1
The settler is responsible.,die ansässige Person ist verantwortlich.,0
The settler is responsible.,der*die Siedler*in ist verantwortlich.,0
The settler is responsible.,der:die Siedler:in ist verantwortlich.,0
The settlers are diligent.,Die Siedler sind fleißig.,1
The settlers are diligent.,Die Siedlerinnen sind fleißig.,1
The settlers are diligent.,Die Ansässigen sind fleißig.,0
The settlers are diligent.,die Siedler*innen sind fleißig.,0
The settlers are diligent.,die Siedler:innen sind fleißig.,0
The settlers are intelligent.,Die Siedler sind intelligent.,1
The settlers are intelligent.,Die Siedlerinnen sind intelligent.,1
The settlers are intelligent.,Die Ansässigen sind intelligent.,0
The settlers are intelligent.,die Siedler*innen sind intelligent.,0
The settlers are intelligent.,die Siedler:innen sind intelligent.,0
The settlers are responsible.,Die Siedler sind verantwortlich.,1
The settlers are responsible.,Die Siedlerinnen sind verantwortlich.,1
The settlers are responsible.,Die Ansässigen sind verantwortlich.,0
The settlers are responsible.,die Siedler*innen sind verantwortlich.,0
The settlers are responsible.,die Siedler:innen sind verantwortlich.,0
The primary school pupil is diligent.,Der Grundschüler ist fleißig.,1
The primary school pupil is diligent.,Die Grundschülerin ist fleißig.,1
The primary school pupil is diligent.,das Grundschulkind ist fleißig.,0
The primary school pupil is diligent.,der*die Grundschüler*in ist fleißig.,0
The primary school pupil is diligent.,der:die Grundschüler:in ist fleißig.,0
The primary school pupil is intelligent.,Der Grundschüler ist intelligent.,1
The primary school pupil is intelligent.,Die Grundschülerin ist intelligent.,1
The primary school pupil is intelligent.,das Grundschulkind ist intelligent.,0
The primary school pupil is intelligent.,der*die Grundschüler*in ist intelligent.,0
The primary school pupil is intelligent.,der:die Grundschüler:in ist intelligent.,0
The primary school pupil is responsible.,Der Grundschüler ist verantwortlich.,1
The primary school pupil is responsible.,Die Grundschülerin ist verantwortlich.,1
The primary school pupil is responsible.,das Grundschulkind ist verantwortlich.,0
The primary school pupil is responsible.,der*die Grundschüler*in ist verantwortlich.,0
The primary school pupil is responsible.,der:die Grundschüler:in ist verantwortlich.,0
The primary school pupils are diligent.,Die Grundschüler sind fleißig.,1
The primary school pupils are diligent.,Die Grundschülerinnen sind fleißig.,1
The primary school pupils are diligent.,Die Grundschulkinder sind fleißig.,0
The primary school pupils are diligent.,die Grundschüler*innen sind fleißig.,0
The primary school pupils are diligent.,die Grundschüler:innen sind fleißig.,0
The primary school pupils are intelligent.,Die Grundschüler sind intelligent.,1
The primary school pupils are intelligent.,Die Grundschülerinnen sind intelligent.,1
The primary school pupils are intelligent.,Die Grundschulkinder sind intelligent.,0
The primary school pupils are intelligent.,die Grundschüler*innen sind intelligent.,0
The primary school pupils are intelligent.,die Grundschüler:innen sind intelligent.,0
The primary school pupils are responsible.,Die Grundschüler sind verantwortlich.,1
The primary school pupils are responsible.,Die Grundschülerinnen sind verantwortlich.,1
The primary school pupils are responsible.,Die Grundschulkinder sind verantwortlich.,0
The primary school pupils are responsible.,die Grundschüler*innen sind verantwortlich.,0
The primary school pupils are responsible.,die Grundschüler:innen sind verantwortlich.,0
The recipient is diligent.,Der Rezipient ist fleißig.,1
The recipient is diligent.,Die Rezipientin ist fleißig.,1
The recipient is diligent.,Rezipierende ist fleißig.,0
The recipient is diligent.,der*die Rezipient*in ist fleißig.,0
The recipient is diligent.,der:die Rezipient:in ist fleißig.,0
The recipient is intelligent.,Der Rezipient ist intelligent.,1
The recipient is intelligent.,Die Rezipientin ist intelligent.,1
The recipient is intelligent.,Rezipierende ist intelligent.,0
The recipient is intelligent.,der*die Rezipient*in ist intelligent.,0
The recipient is intelligent.,der:die Rezipient:in ist intelligent.,0
The recipient is responsible.,Der Rezipient ist verantwortlich.,1
The recipient is responsible.,Die Rezipientin ist verantwortlich.,1
The recipient is responsible.,Rezipierende ist verantwortlich.,0
The recipient is responsible.,der*die Rezipient*in ist verantwortlich.,0
The recipient is responsible.,der:die Rezipient:in ist verantwortlich.,0
The recipients are diligent.,Die Rezipienten sind fleißig.,1
The recipients are diligent.,Die Rezipientinnen sind fleißig.,1
The recipients are diligent.,Die Rezipierenden sind fleißig.,0
The recipients are diligent.,die Rezipient*innen sind fleißig.,0
The recipients are diligent.,die Rezipient:innen sind fleißig.,0
The recipients are intelligent.,Die Rezipienten sind intelligent.,1
The recipients are intelligent.,Die Rezipientinnen sind intelligent.,1
The recipients are intelligent.,Die Rezipierenden sind intelligent.,0
The recipients are intelligent.,die Rezipient*innen sind intelligent.,0
The recipients are intelligent.,die Rezipient:innen sind intelligent.,0
The recipients are responsible.,Die Rezipienten sind verantwortlich.,1
The recipients are responsible.,Die Rezipientinnen sind verantwortlich.,1
The recipients are responsible.,Die Rezipierenden sind verantwortlich.,0
The recipients are responsible.,die Rezipient*innen sind verantwortlich.,0
The recipients are responsible.,die Rezipient:innen sind verantwortlich.,0
The reformer is diligent.,Der Reformer ist fleißig.,1
The reformer is diligent.,Die Reformerin ist fleißig.,1
The reformer is diligent.,die reformierende Person ist fleißig.,0
The reformer is diligent.,der*die Reformer*in ist fleißig.,0
The reformer is diligent.,der:die Reformer:in ist fleißig.,0
The reformer is intelligent.,Der Reformer ist intelligent.,1
The reformer is intelligent.,Die Reformerin ist intelligent.,1
The reformer is intelligent.,die reformierende Person ist intelligent.,0
The reformer is intelligent.,der*die Reformer*in ist intelligent.,0
The reformer is intelligent.,der:die Reformer:in ist intelligent.,0
The reformer is responsible.,Der Reformer ist verantwortlich.,1
The reformer is responsible.,Die Reformerin ist verantwortlich.,1
The reformer is responsible.,die reformierende Person ist verantwortlich.,0
The reformer is responsible.,der*die Reformer*in ist verantwortlich.,0
The reformer is responsible.,der:die Reformer:in ist verantwortlich.,0
The reformers are diligent.,Die Reformer sind fleißig.,1
The reformers are diligent.,Die Reformerinnen sind fleißig.,1
The reformers are diligent.,Die reformierende Personen sind fleißig.,0
The reformers are diligent.,die Reformer*innen sind fleißig.,0
The reformers are diligent.,die Reformer:innen sind fleißig.,0
The reformers are intelligent.,Die Reformer sind intelligent.,1
The reformers are intelligent.,Die Reformerinnen sind intelligent.,1
The reformers are intelligent.,Die reformierende Personen sind intelligent.,0
The reformers are intelligent.,die Reformer*innen sind intelligent.,0
The reformers are intelligent.,die Reformer:innen sind intelligent.,0
The reformers are responsible.,Die Reformer sind verantwortlich.,1
The reformers are responsible.,Die Reformerinnen sind verantwortlich.,1
The reformers are responsible.,Die reformierende Personen sind verantwortlich.,0
The reformers are responsible.,die Reformer*innen sind verantwortlich.,0
The reformers are responsible.,die Reformer:innen sind verantwortlich.,0
The colleague is diligent.,Der Kollege ist fleißig.,1
The colleague is diligent.,Die Kollegin ist fleißig.,1
The colleague is diligent.,die Kollegschaft ist fleißig.,0
The colleague is diligent.,der*die Kolleg*in ist fleißig.,0
The colleague is diligent.,der:die Kolleg:in ist fleißig.,0
The colleague is intelligent.,Der Kollege ist intelligent.,1
The colleague is intelligent.,Die Kollegin ist intelligent.,1
The colleague is intelligent.,die Kollegschaft ist intelligent.,0
The colleague is intelligent.,der*die Kolleg*in ist intelligent.,0
The colleague is intelligent.,der:die Kolleg:in ist intelligent.,0
The colleague is responsible.,Der Kollege ist verantwortlich.,1
The colleague is responsible.,Die Kollegin ist verantwortlich.,1
The colleague is responsible.,die Kollegschaft ist verantwortlich.,0
The colleague is responsible.,der*die Kolleg*in ist verantwortlich.,0
The colleague is responsible.,der:die Kolleg:in ist verantwortlich.,0
The colleagues are diligent.,Die Kollegen sind fleißig.,1
The colleagues are diligent.,Die Kolleginnen sind fleißig.,1
The colleagues are diligent.,Die Kollegschaft sind fleißig.,0
The colleagues are diligent.,die Kolleg*innen sind fleißig.,0
The colleagues are diligent.,die Kolleg:innen sind fleißig.,0
The colleagues are intelligent.,Die Kollegen sind intelligent.,1
The colleagues are intelligent.,Die Kolleginnen sind intelligent.,1
The colleagues are intelligent.,Die Kollegschaft sind intelligent.,0
The colleagues are intelligent.,die Kolleg*innen sind intelligent.,0
The colleagues are intelligent.,die Kolleg:innen sind intelligent.,0
The colleagues are responsible.,Die Kollegen sind verantwortlich.,1
The colleagues are responsible.,Die Kolleginnen sind verantwortlich.,1
The colleagues are responsible.,Die Kollegschaft sind verantwortlich.,0
The colleagues are responsible.,die Kolleg*innen sind verantwortlich.,0
The colleagues are responsible.,die Kolleg:innen sind verantwortlich.,0
The course participant is diligent.,Der Kursteilnehmer ist fleißig.,1
The course participant is diligent.,Die Kursteilnehmerin ist fleißig.,1
The course participant is diligent.,die am Kurs teilnehmende Person ist fleißig.,0
The course participant is diligent.,der*die Kursteilnehmer*in ist fleißig.,0
The course participant is diligent.,der:die Kursteilnehmer:in ist fleißig.,0
The course participant is intelligent.,Der Kursteilnehmer ist intelligent.,1
The course participant is intelligent.,Die Kursteilnehmerin ist intelligent.,1
The course participant is intelligent.,die am Kurs teilnehmende Person ist intelligent.,0
The course participant is intelligent.,der*die Kursteilnehmer*in ist intelligent.,0
The course participant is intelligent.,der:die Kursteilnehmer:in ist intelligent.,0
The course participant is responsible.,Der Kursteilnehmer ist verantwortlich.,1
The course participant is responsible.,Die Kursteilnehmerin ist verantwortlich.,1
The course participant is responsible.,die am Kurs teilnehmende Person ist verantwortlich.,0
The course participant is responsible.,der*die Kursteilnehmer*in ist verantwortlich.,0
The course participant is responsible.,der:die Kursteilnehmer:in ist verantwortlich.,0
The course participants are diligent.,Die Kursteilnehmer sind fleißig.,1
The course participants are diligent.,Die Kursteilnehmerinnen sind fleißig.,1
The course participants are diligent.,Die am Kurs teilnehmende Personen sind fleißig.,0
The course participants are diligent.,die Kursteilnehmer*innen sind fleißig.,0
The course participants are diligent.,die Kursteilnehmer:innen sind fleißig.,0
The course participants are intelligent.,Die Kursteilnehmer sind intelligent.,1
The course participants are intelligent.,Die Kursteilnehmerinnen sind intelligent.,1
The course participants are intelligent.,Die am Kurs teilnehmende Personen sind intelligent.,0
The course participants are intelligent.,die Kursteilnehmer*innen sind intelligent.,0
The course participants are intelligent.,die Kursteilnehmer:innen sind intelligent.,0
The course participants are responsible.,Die Kursteilnehmer sind verantwortlich.,1
The course participants are responsible.,Die Kursteilnehmerinnen sind verantwortlich.,1
The course participants are responsible.,Die am Kurs teilnehmende Personen sind verantwortlich.,0
