ID,German_MP,German_FP,Gender-Neutral,Gender-Inclusive,English
0,Die Dispatcher,Die Dispatcherinnen,,die Dispatcher*innen,The dispatchers
1,Die Stellvertreter,Die Stellvertreterinnen,Die Stellvertretung,die Stellvertreter*innen,The deputies
2,Die Siedler,Die Siedlerinnen,Die Ansässigen; die Siedelnden,die Siedler*innen,The settlers
3,Die Grundschüler,Die Grundschülerinnen,Die Grundschulkinder,die Grundschüler*innen,The primary school pupils
4,Die Rezipienten,Die Rezipientinnen,Die Rezipierenden; Publikum,die Rezipient*innen,The recipients
5,Die Reformer,Die Reformerinnen,Die reformierende Personen; die Reformpersonen,die Reformer*innen,The reformers
9,Die Kollegen,Die Kolleginnen,Die Kollegschaft;  das Kollegium; das Teammitglieder;  das Team,die Kolleg*innen,The colleagues
10,Die Kursteilnehmer,Die Kursteilnehmerinnen,Die am Kurs teilnehmende Personen,die Kursteilnehmer*innen,The course participants
11,Die Patienten,Die Patientinnen,Die zu behandelnden Personen;  die kranken Personen;  die zu versorgenden Personen; die hilfesuchenden Personen; die stationär aufgenommenen Personen,die Patient*innen,The patients
12,Die Bergsteiger,Die Bergsteigerinnen,Die Bergbegeisterten; die Bergsteigenden,die Bergsteiger*innen,The mountaineers
14,Die Kindertagepfleger,Die Kindertagepflegerinnen,Die Kindertagespflegepersonen,die Kindertagpfleger*innen,The children's day carers
16,Die Keramiker,Die Keramikerinnen,Die Keramikfachkräfte,die Keramiker*innen,The ceramists
17,Die Pazifisten,Die Pazifistinnen,Die Friedensbewegten,die Pazifist*innen,The pacifists
18,Die Unterzeichner,Die Unterzeichnerinnen,Die unterzeichnenden Personen; die unterzeichnenden Parteien,die Unterzeichner*innen,The signees
19,Die Unterzeichner,Die Unterzeichnerinnen,Die unterzeichnenden Personen; die unterzeichnenden Parteien,die Unterzeichner*innen,The addressers
20,Die Berater,Die Beraterinnen,Die Beratenden,die Berater*innen,The counsellors
21,Die Auftragnehmer,Die Auftragnehmerinnen,Die Auftragnehmenden,die Auftragnehmer*innen,The contractors
22,Die Koordinatoren,Die Koordinatorinnen,Die Koordination,die Koordinator*innen,The coordinators
23,Die Suprematisten,Die Suprematistinnen,,die Suprematist*innen,The supremacists
24,Die Beschäftigte,Die Beschäftigte,Die Arbeitskräfte; die beschäftigte Personen; die angestellten Personen; die Personen im Beschäftigungsverhältnis,die Beschäftigten,The employees
25,Die Investoren,Die Investorinnen,Die geldgebenden Personen; die investierenden Personen,die Investor*innen,The investors
26,Die Blogger,Die Bloggerinnen,Die bloggenden Personen;,die Blogger*innen,The bloggers
27,Die Veteranen,Die Veteraninnen,Die Altgedienten; die ehemaligen Kriegsteilnehmenden,die Veteran*innen,The veterans;
28,Die Spender,Die Spenderinnen,Die Gebenden; Sponsoring; Spenden,die Spender*innen,The donors
29,Die Mitbürger,Die Mitbürgerinnen,Die Mitmenschen,die Mitbürger*innen,The fellow citizens
30,Die Notare,Die Notarinnen,Die notariell arbeitenden Personen,die Notar*innen,The notaries
31,Die Reisende,Die Reisende,Die reisenden Personen,die Reisenden,The travellers
32,Die Schülervertreter,Die Schülervertreterinnen,Die Lernendenvertretung,die Schülervertreter*innen,The student representatives
33,Die Diabetiker,Die Diabetikerinnen,Die Menschen mit Diabetes; die Diabetes erkrankten Personen,die Diabetiker*innen,The diabetics
34,Die Sachbearbeiter,Die Sachbearbeiterinnen,Die Verwaltungskräfte,die Sachbearbeiter*innen,The administrators
35,Die Juden,Die Juden,Die Menschen jüdischen Glaubens; die jüdischen Menschen; die Mitglieder der jüdischen Gemeinschaft ,die Jud*innen,The Jews
36,Die Sekretäre,Die Sekretärinnen,Die Verwaltungskräfte; die Verwaltungsfachangestellten;  die Assistenzen; die Schreibkräfte;  die Bürokräfte,die Sekräter*innen,The secretaries
37,Die Bauträger,Die Bauträgerinnen,Die für den Bau verantwortlichen Firmen,die Bauträger*innen,The builders
38,Die Vollstreckungsschuldner,Die Vollstreckungsschuldnerinnen,,die Vollstreckungsschuldner*innen,The enforcement debtors
39,Die Präsidenten,Die Präsidentinnen,Die Staatsoberhäupter; die Vorsitzen,die Präsident*innen,The presidents;
40,Die Seelsorger,Die Seelsorgerinnen,,die Seelsorger*innen,The pastors
41,Die Steuerberater,Die Steuerberaterinnen,Die Steuerberatungen; die Steuerkanzleien; die zu Steuern beratenden Personen,die Steuerberater*innen,The tax consultants
