ID,German_MS,German_FS,Gender-Neutral,Gender-Inclusive,English,English_P
0,Der Dispatcher,Die Dispatcherin,,der*die Dispatcher*in,The dispatcher,The dispatchers
1,Der Stellvertreter,Die Stellvertreterin,die Stellvertretung,der*die Stellvertreter*in,The deputy,The deputies
2,Der Siedler,Die Siedlerin,die ansässige Person; die siedelnde Person,der*die Siedler*in,The settler,The settlers
3,Der Grundschüler,Die Grundschülerin,das Grundschulkind,der*die Grundschüler*in,The primary school pupil,The primary school pupils
4,Der Rezipient,Die Rezipientin,Rezipierende; das Publikum,der*die Rezipient*in,The recipient,The recipients
5,Der Reformer,Die Reformerin,die reformierende Person; die Reformperson,der*die Reformer*in,The reformer,The reformers
9,Der Kollege,Die Kollegin,die Kollegschaft; das Kollegium; das Teammitglied,der*die Kolleg*in,The colleague,The colleagues
10,Der Kursteilnehmer,Die Kursteilnehmerin,die am Kurs teilnehmende Person,der*die Kursteilnehmer*in,The course participant,The course participants
11,Der Patient,Die Patientin,die zu behandelnde Person; die kranke Person; die zu versorgende Person,der*die Patient*in,The patient,The patients
12,Der Bergsteiger,Die Bergsteigerin,die bergbegeisterte Person; die bergsteigende Person,der*die Bergsteiger*in,The mountaineer,The mountaineers
14,Der Kindertagepfleger,Die Kindertagepflegerin,die Kindertagespflegeperson,der*die Kindertagpfleger*in,The children's day carer,The children's day carers
16,Der Keramiker,Die Keramikerin,die Keramikfachkraft,der*die Keramiker*in,The ceramist,The ceramists
17,Der Pazifist,Die Pazifistin,Friedensbewegte,der*die Pazifist*in,The pacifist,The pacifists
18,Der Unterzeichner,Die Unterzeichnerin,die unterzeichnende Person; die unterzeichnende Partei; die Unterschrift,der*die Unterzeichner*in,The signee,The signees
19,Der Unterzeichner,Die Unterzeichnerin,die unterzeichnende Person; die unterzeichnende Partei; dieUnterschrift,der*die Unterzeichner*in,The addresser,The addressers
20,Der Berater,Die Beraterin,die beratende Person,der*die Berater*in,The counsellor,The counsellors
21,Der Auftragnehmer,Die Auftragnehmerin,die auftragnehmende Person,der*die Auftragnehmer*in,The contractor,The contractors
22,Der Koordinator,Die Koordinatorin,die Koordination,der*die Koordinator*in,The coordinator,The coordinators
23,Der Suprematist,Die Suprematistin,,der*die Suprematist*in,The supremacist,The supremacists
24,Der Beschäftigte,Die Beschäftigte,die Arbeitskraft; die beschäftigte Person; die angestellte Person; die Person im Beschäftigungsverhältnis,der*die Beschäftigte,The employee,The employees
25,Der Investor,Die Investorin,"die geldgebende Person; die Person, die Geld investiert hat; die investierende Person",der*die Investor*in,The investor,The investors
26,Der Blogger,Die Bloggerin,"die bloggende Personen; die Personen, die einen Blog schreiben",der*die Blogger*in,The blogger,The bloggers
27,Der Veteran,Die Veteranin,die altgediente Person; die ehemalige kriegsteilnehmende Person,der*die Veteran*in,The veteran,The veterans
28,Der Spender,Die Spenderin,die gebende Person; die Spende,der*die Spender*in,The donor,The donors
29,Der Mitbürger,Die Mitbürgerin,der Mitmensch,der*die Mitbürger*in,The fellow citizen,The fellow citizens
30,Der Notar,Die Notarin,die notariell arbeitende Person,der*die Notar*in,The notary,The notaries
31,Der Reisender,Die Reisende,die reisende Person,der*die Reisende,The traveller,The travellers
32,Der Schülervertreter,Die Schülervertreterin,"die Person, die die Schülerschaft vertritt; die Lernendenvertretung",der*die Schülervertreter*in,The student representative,The student representatives
