ID;Europarl_ID;SET;SRC;REF-G;REF-N;GENDER;COMMON;REF-G_ann;G-WORDS
1;ep-en-de-10000;Set-G;I think that this is a positive message that the President-in-Office of the Council must include in her speech, because we still have time to include the Charter in Article 6 of the Treaties.;Ich halte diese Botschaft, die die Ratspräsidentin in ihre Rede aufnehmen soll, für positiv, denn noch ist Zeit, um die Charta in den Artikel 6 der Verträge aufzunehmen.;Ich halte diese Botschaft, die die Ratspräsidentschaft in ihre Rede aufnehmen soll, für positiv, denn noch ist Zeit, um die Charta in den Artikel 6 der Verträge aufzunehmen.;F;no;Ich halte diese Botschaft , die <G>die</G> <G>Ratspräsidentin</G> in <G>ihre</G> Rede aufnehmen soll , für positiv , denn noch ist Zeit , um die Charta in den Artikel 6 der Verträge aufzunehmen .;die & Ratspräsidentin & ihre
2;ep-en-de-1003;Set-G;Let us call it hope capital instead, as I proposed to Mrs Kauppi, who agreed with me.;"Nennen wir es also ""Hoffnungskapital"", wie ich es Frau Kauppi vorgeschlagen hatte, die dem zugestimmt hat.";"Nennen wir es also ""Hoffnungskapital"", wie ich es der Person Kauppi vorgeschlagen hatte, die dem zugestimmt hat.";F;yes;"Nennen wir es also "" Hoffnungskapital "" , wie ich es <G>Frau</G> Kauppi vorgeschlagen hatte , <G>die</G> dem zugestimmt hat .";Frau & die
3;ep-en-de-1005;Set-G;I welcome this excellent report from my colleague Mrs Skinner.;Ich begrüße den ausgezeichneten Bericht meiner Kollegin, Frau Skinner.;Ich begrüße den ausgezeichneten Bericht des Mitglieds aus meinem Kollegium, Skinner.;F;no;Ich begrüße den ausgezeichneten Bericht <G>meiner</G> <G>Kollegin</G> , <G>Frau</G> Skinner .;meiner & Kollegin & Frau
4;ep-en-de-10140;Set-G;For all these reasons, we, as our chairman, Mrs Poettering, has already said, are going to vote in favour of this Charter.;Aus allen diesen Gründen werden wir, wie unsere Vorsitzende, Frau Poettering, hat es gerade gesagt für diese Charta stimmen.;Aus allen diesen Gründen werden wir, wie unsere vorsitzende Person Poettering es gerade gesagt hat, für diese Charta stimmen.;F;no;Aus allen diesen Gründen werden wir, wie <G>unsere</G> <G>Vorsitzende</G> , <G>Frau</G> Poettering , hat es gerade gesagt für diese Charta stimmen .;unsere & Vorsitzende & Frau
5;ep-en-de-10149;Set-G;The chairman of the group to which the majority of governments in the European Union belong said quite clearly that she will not approve the reform of the Treaty of Nice if no reference is made in Article 6.;Die Fraktionsvorsitzende der Partei mit den meisten Regierungen der Europäischen Union sagte mit aller Deutlichkeit, dass sie die Vertragsreform von Nizza nicht billigen wird, wenn nicht auf Artikel 6 Bezug genommen wird.;Die Leitung der Gruppe mit den meisten Regierungen der Europäischen Union sagte mit aller Deutlichkeit, dass sie die Vertragsreform von Nizza nicht billigen wird, wenn nicht auf Artikel 6 Bezug genommen wird.;F;no;<G>Die</G> Fraktionsvorsitzende der Partei mit den meisten Regierungen der Europäischen Union sagte mit aller Deutlichkeit , dass <G>sie</G> die Vertragsreform von Nizza nicht billigen wird , wenn nicht auf Artikel 6 Bezug genommen wird .;Die & sie
6;ep-en-de-1015;Set-G;My colleague Mrs Armonie Bordes cuttingly pointed out yesterday the little benefits of deploying community capital and pension premiums for entrepreneurial risks.;Meine Fraktionskollegin Armonie Bordes hat gestern unmissverständlich klargestellt, wie wenig Vorteile es bringt, Gemeinschaftsgelder und Rentenversicherungsbeiträge zur Deckung von Unternehmerrisiken zu verwenden.;Das Mitglied meiner Fraktion Armonie Bordes hat gestern unmissverständlich klargestellt, wie wenig Vorteile es bringt, Gemeinschaftsgelder und Rentenversicherungsbeiträge zur Deckung von Unternehmerrisiken zu verwenden.;F;yes;<G>Meine</G> <G>Fraktionskollegin</G> Armonie Bordes hat gestern unmissverständlich klargestellt , wie wenig Vorteile es bringt , Gemeinschaftsgelder und Rentenversicherungsbeiträge zur Deckung von Unternehmerrisiken zu verwenden .;Meine & Fraktionskollegin
7;ep-en-de-10173;Set-G;According to the co-rapporteur, Mrs Duff, this is a major step towards improving the quality of European integration.;Der Berichterstatterin, Frau Duff, zufolge stellt dies einen wichtigen Schritt zur Verbesserung der Qualität der europäischen Integration dar.;Der Bericht erstattenden Person Duff zufolge stellt dies einen wichtigen Schritt zur Verbesserung der Qualität der europäischen Integration dar.;F;no;<G>Der</G> <G>Berichterstatterin</G> , <G>Frau</G> Duff , zufolge stellt dies einen wichtigen Schritt zur Verbesserung der Qualität der europäischen Integration dar .;Der & Berichterstatterin & Frau
8;ep-en-de-10188;Set-G;Finally, I want to say a warm thank-you to our skilled delegation leader, Mrs Méndez de Vigo.;Abschließend möchte ich noch einen herzlichen Dank an unsere fähige Delegationsleiterin, Frau Méndez de Vigo, richten.;Abschließend möchte ich noch einen herzlichen Dank an unsere fähige Delegationsleitung Méndez de Vigo richten.;F;no;Abschließend möchte ich noch einen herzlichen Dank an <G>unsere</G> <G>fähige</G> <G>Delegationsleiterin</G> , <G>Frau</G> Méndez de Vigo , richten .;unsere & fähige & Delegationsleiterin & Frau
9;ep-en-de-10317;Set-G;One example is the report drawn up under the responsibility of Mrs Demirok, Secretary of the Turkish Supreme Coordination Council for Human Rights, who has proposed a very wide-ranging raft of reforms to the Constitution.;Beweis dafür ist der unter der Leitung von Frau Demirok, Sekretärin des Hohen Türkischen Koordinierungsrates für Menschenrechte, ausgearbeitete Bericht, in dem ein sehr umfangreiches Paket von Reformen der Verfassung vorgeschlagen wird.;Beweis dafür ist der unter der Leitung der Führung des Sekretariats des Hohen Türkischen Koordinierungsrates für Menschenrechte Demirok ausgearbeitete Bericht, in dem ein sehr umfangreiches Paket von Reformen der Verfassung vorgeschlagen wird.;F;yes;Beweis dafür ist der unter der Leitung von <G>Frau</G> Demirok , <G>Sekretärin</G> des Hohen Türkischen Koordinierungsrates für Menschenrechte , ausgearbeitete Bericht , in dem ein sehr umfangreiches Paket von Reformen der Verfassung vorgeschlagen wird .;Frau & Sekretärin
10;ep-en-de-1038;Set-G;I would like, in particular, to thank Mrs Van den Burg, a Dutch Social Democrat who worked particularly hard on Article 25.;Ich möchte jedoch vor allem der niederländischen Sozialdemokratin Frau van den Burg meinen Dank aussprechen, die sich besonders für den Artikel 25 eingesetzt hat.;Ich möchte jedoch vor allem dem niederländischen Mitglied der sozialdemokratischen Partei van den Burg meinen Dank aussprechen, das sich besonders für den Artikel 25 eingesetzt hat.;F;yes;Ich möchte jedoch vor allem <G>der</G> niederländischen <G>Sozialdemokratin</G> <G>Frau</G> van den Burg meinen Dank aussprechen , <G>die</G> sich besonders für den Artikel 25 eingesetzt hat .;der & Sozialdemokratin & Frau & die
