english,german,label
The extremists are diligent.,Die Extremistinnen sind fleißig.,1
"They may also fall under the competence of my colleague, Mr Barnier, who spoke to this Assembly a little while ago.","Für diese dürfte mein Kollege, Herr Barnier, ebenfalls zuständig sein, der vorhin vor diesem Plenum gesprochen hat.",0
We believe it is absolutely fundamental that this progress report should be seen to restore the confidence of our citizens in the way in which the European Union institutions operate.,Unserer Ansicht nach sollte der geplante Fortschrittsbericht das Vertrauen unserer Bürger in die Arbeitsweise der Organe der Europäischen Union wiederherstellen.,1
The supremacists are diligent.,Die Suprematistinnen sind fleißig.,1
What the fishermen are asking is that the Commission responds to them in a more positive way than it has in the past.,"Die Fischer bitten darum, dass die Kommission positiver als in der Vergangenheit auf ihre Belange eingeht.",1
"Commissioner, I say to you that without an action plan, without any indicators to see who is doing what, and how well they are doing, without assessment of progress, there will be so many discrepancies, so many complaints, so many letters in your post bag, so many students and teachers knocking at your door, and indeed so many MEPs lobbying you, that I suggest you will wish, even allowing for the constraints under which you work, that you had accepted the amendments I proposed and which I hope Parliament will accept.","Ich möchte das Kommissionsmitglied explizit davor warnen, dass ohne einen Aktionsplan, ohne jegliche Indikatoren, an denen ablesbar ist, wer was wie gut tut, ohne Bewertung der Fortschritte es so viele Eingaben und Beschwerden, so viele Briefe in Ihrer Post geben wird, so viele Studierende und Lehrkräfte an Ihre Tür klopfen werden und so viele Europaabgeordnete auf Sie einreden werden, dass ich behaupten möchte, Sie werden sich wünschen, selbst angesichts der Beschränkungen, die Ihrer Tätigkeit auferlegt werden, dass Sie die vorgeschlagenen und hoffentlich vom Parlament angenommenen Änderungsanträge genehmigt hätten.",0
The children's day carers are responsible.,Die Kindertagespflegepersonen sind verantwortlich.,0
The colleague is diligent.,Die Kollegin ist fleißig.,1
The neighbors are responsible.,Die Nebenmänner sind verantwortlich.,1
The layperson is responsible.,Die Laiin ist verantwortlich.,1
"The European Union must therefore support the initiatives by President Andrés Pastrana, aimed at achieving a negotiated peace between her government and the so-called National Liberation Army.","Aus diesem Grund muss die Europäische Union die Initiativen von Präsidentin Andrés Pastrana unterstützen, die auf einen zwischen ihrer Regierung und den Guerillagruppen, den Streitkräften und der so genannten Nationalen Befreiungsarmee, ausgehandelten Frieden gerichtet sind.",0
"We also pay tribute in particular to the minister, for his determination to ensure that, in a very brief period of time, we truly learn the lessons and make sure that they are applied to prevent a similar disaster occurring again.","Wir bezeugen ebenfalls insbesondere dem Herrn Minister, Respekt für seine feste Absicht, uns schon sehr bald die richtigen Lehren aus dem Erika - Fall zu vermitteln und dafür Sorge zu tragen, dass sie umgesetzt werden, um eine nochmalige Katastrophe dieser Art zu verhindern.",0
The investigators are responsible.,Die Versuchsleiter sind verantwortlich.,1
The interpreter is responsible.,die dolmetschende Fachkraft ist verantwortlich.,0
"Finally, I would especially like to congratulate the delegate, Mrs Poos, and to express my satisfaction at the success of accession negotiations with Cyprus, which have advanced further than with any other candidate country, with 16 chapters already dealt with, which doubtless augurs well for an auspicious final outcome.","Ganz besonders aber möchte ich die Delegierte, Frau Poos, beglückwünschen und meine Zufriedenheit über den erfolgreichen Verlauf der Beitrittsverhandlungen mit Zypern bekunden, die von denen mit allen beitrittswilligen Ländern am weitesten vorangeschritten sind. 16 Kapitel sind bereits unter Dach und Fach, was zweifelsohne einen positiven Abschluss dieser Verhandlungen erwarten lässt.",0
The consumer advisors are responsible.,Die Verbraucherschützerinnen sind verantwortlich.,1
The tax consultants are responsible.,Die Steuerberatungen sind verantwortlich.,0
The people of Europe are waiting impatiently for results.,Die Bevölkerung Europas wartet ungeduldig auf Ergebnisse!,0
"Perhaps the French have even resigned themselves to this, if we are to believe the report in a German newspaper on 13 December, according to which President Chirac, in a piece of out-and-out horse-trading, is supposed to have promised the recalcitrant Belgian Prime Minister (who is now being hailed as the hero of Nice) that in future all summit meetings, as well as an additional week of plenary sittings of the European Parliament, would be held in Brussels.","Vielleicht haben die Franzosen auch resigniert, wenn die Mitteilung vom 13. Dezember einer deutschen Zeitung stimmt, gemäß welcher Präsident Chirac in Nizza in einem regelrechten Kuhhandel dem aufmüpfigen belgischen Premierminister (der als Held von Nizza gefeiert wird) versprochen haben soll, dass in Zukunft alle Gipfeltreffen sowie eine zusätzliche Plenarsitzungswoche des EP in Brüssel stattfinden sollen.",1
"On 22 November, the very day of the 25th anniversary of the coronation of King Juan Carlos, which paved the way to democracy in Spain, one of the key figures in this democracy has, in turn, paid with his life for his belief in freedom, tolerance and respect.","Am 22. November, d. h. genau am 25. Jahrestag der Krönung des königlichen Staatsoberhaupts Juan Carlos, das Spanien den Weg der Demokratie eröffnet hat, musste eine der hervorragendsten diese Demokratie repräsentierenden Personen ihren Glauben an Freiheit, Toleranz und Achtung ihrerseits mit dem Leben bezahlen.",1
The deputy is responsible.,der*die Stellvertreter*in ist verantwortlich.,0
The pensioners are responsible.,die Pensionär*innen sind verantwortlich.,0
The specialists are responsible.,die Spezialist*innen sind verantwortlich.,0
The producers are diligent.,Die die Produktionsleitung innehabenden Personen sind fleißig.,0
The people of Europe are waiting impatiently for results.,Die Bürgerinnen und Bürger Europas warten ungeduldig auf Ergebnisse!,1
"In the explanatory statement, the rapporteur lists four ""essential criteria"" which European policy needs to satisfy in the field of arms exports.","In der Begründung führt der Berichterstatter vier ""wesentliche Kriterien"" an, denen die europäische Politik im Bereich der Waffenausfuhren entsprechen muss.",1
I thank the Commissioner for his continuing commitment in the field of maritime safety.,Ich danke De Palacio für das anhaltende Engagement auf dem Gebiet der Schiffssicherheit.,1
The lawyer is responsible.,der*die Rechtsanwält*in ist verantwortlich.,0
The employers are intelligent.,Die Dienstfrauen sind intelligent.,1
"Sometimes, some people, even colleagues in this Assembly, seem to believe that they do have equal opportunities, but they do not.","Manchmal scheinen einige Leute, auch einige Personen aus dem Kollegium in diesem Hause, zu glauben, dass dem doch so wäre, aber das stimmt nicht.",0
Like my very good friend Mr Langenhagen I trust that the European Commission will review this issue before May next year.,"Wie mein sehr guter Freund Herr Langenhagen vertraue ich darauf, dass die Europäische Kommission dieses Problem vor Mai nächsten Jahres überprüfen wird.",0
"The Minister has admitted as much, the Prime Minister admitted as much yesterday in Parliament and I hope that the Socialist Group in the European Parliament will admit as much.","Dies hat der zuständige Minister eingeräumt, sogar der griechische Premierminister hat es gestern im Parlament zugegeben, und hoffentlich kann sich dem auch die Fraktion der Sozialdemokratischen Partei Europas im Europäischen Parlament anschließen.",1
The trainers are diligent.,Die sportlichen Anleitungen sind fleißig.,0
"I am thinking particularly here of the discrimination affecting third-country nationals, but also the second-generation children from immigrant families.","In diesem Zusammenhang spreche ich vor allem von Diskriminierungen, die Bürger aus Drittstaaten betreffen, aber auch Kinder von Immigranten.",1
The freelancers are intelligent.,Die freiberuflich arbeitenden Personen sind intelligent.,0
The expert is responsible.,die sachverständige Person ist verantwortlich.,0
The employers are responsible.,Die Dienstherren sind verantwortlich.,1
Commissioner Patten has said that we must not be hostages to the Palestine-Israel situation.,"Die kommissarisch beauftragte Person Patten sagt, wir dürfen nicht zu Geiseln des Israel - Palästina - Prozesses werden.",0
"Therefore, for the sake of the internal market, and in order to boost consumer confidence, I would advocate a complete and immediate ban.",Sowohl im Interesse des Binnenmarktes als auch zur Stärkung des Vertrauens der europäischen Verbrauchenden bin ich also für ein völliges und sofortiges Verbot.,0
The readers are intelligent.,Die Leserinnen sind intelligent.,1
The investigator is diligent.,Der Versuchsleiter ist fleißig.,1
"I have to report not only to the Court of Auditors and to the tax-payers, but also, first and foremost, to the European Parliament, which is responsible for budgetary control and for adopting this budget, and I believe that it is my duty and role to say what is happening, at such times as I judge fit, and to do so in a transparent manner, with respect for the budgetary authority of which the European Parliament forms part.","Ich muss nicht nur gegenüber dem Rechnungshof, den Steuerpflichtigen Rechenschaft ablegen, sondern zunächst gegenüber dem Europäischen Parlament, das dieses Budget zu kontrollieren und zu verabschieden hat. Meines Erachtens ist es meine Aufgabe und meine Pflicht, aus Achtung gegenüber der Haushaltsbehörde, die das Europäische Parlament darstellt, zum gegebenen Zeitpunkt in aller Transparenz darzulegen, wie die Dinge stehen.",0
"These are not my own words; they were spoken by Commissioner Patten, and she is perfectly correct.","Das ist kein Satz von mir, sondern des Kommissionsmitglieds Patten, und es hat Recht damit.",1
"Mr President, General De Gaulle spoke of the ""paix des braves"" in the era of Franco-German reconciliation, by which he meant that both sides had been able to achieve a lasting settlement.","Geehrtes Präsidium! Das Militärmitglied im Generalsrang De Gaulle hat bei der deutsch - französischen Aussöhnung vom ""paix des braves"" vom Frieden der Tapferen gesprochen und meinte damit, dass beide Seiten einen dauerhaften Ausgleich finden.",1
The children's day carer is intelligent.,Die Kindertagepflegerin ist intelligent.,1
The settlers are responsible.,die Siedler*innen sind verantwortlich.,0
"Over a year ago, 16 of Europe's best scientists, including a French chairman, declared British beef safe for consumption throughout Europe, and yet France has illegally maintained a ban on the importation of British beef.","Vor mehr als einem Jahr erklärten sechzehn der besten wissenschaftlichen Köpfe Europas, unter ihnen ein französisches Vorstandsmitglied, den Konsum von britischem Rindfleisch in ganz Europa als sicher, und dennoch hat Frankreich ein Importverbot von britischem Rindfleisch gesetzwidrig aufrechterhalten.",0
"Mrs Varela, the chairman of the Committee on Fisheries, has the floor to give her opinion.","Das Wort hat Frau Varela, Vorsitzende des Ausschusses für Fischerei, zur Darlegung ihres Standpunkts.",0
The specialist is diligent.,Die Spezialistin ist fleißig.,1
The sportsperson is diligent.,der*die Sportfreund*in ist fleißig.,0
"I should like to thank the delegate, Mrs Clegg, for the excellent work she has done.",Ich möchte Clegg für die ausgezeichnete Arbeit danken.,1
The expert is intelligent.,Der Gutachter ist intelligent.,1
