english,german,label
"The dispatcher is efficient.","Der Dispatcher ist effizient.",1
"The dispatcher is efficient.","Der oder die Dispatcher*in ist effizient.",0
"The dispatchers are efficient.","Die Dispatcher sind effizient.",1
"The dispatchers are efficient.","Dispatcher*innen sind effizient.",0
"The deputy is authoritative.","Der Stellvertreter ist autoritär.",1
"The deputy is authoritative.","Die Stellvertretung ist autoritär.",0
"The deputies are authoritative.","Stellvertreter sind autoritär.",1
"The deputies are authoritative.","Stellvertretungen sind autoritär.",0
"The settler is resourceful.","Der Siedler ist einfallsreich.",1
"The settler is resourceful.","Die ansässige Person ist einfallsreich.",0
"The settlers are resourceful.","Siedler sind einfallsreich.",1
"The settlers are resourceful.","Ansässige Personen sind einfallsreich.",0
"The primary school pupil is curious.","Der Grundschüler ist neugierig.",1
"The primary school pupil is curious.","Das Grundschulkind ist neugierig.",0
"The primary school pupils are curious.","Grundschüler sind neugierig.",1
"The primary school pupils are curious.","Grundschulkinder sind neugierig.",0
"The recipient is grateful.","Der Rezipient ist dankbar.",1
"The recipient is grateful.","Rezipierende sind dankbar.",0
"The recipients are grateful.","Rezipienten sind dankbar.",1
"The recipients are grateful.","Das Publikum ist dankbar.",0
"The reformer is idealistic.","Der Reformer ist idealistisch.",1
"The reformer is idealistic.","Die reformierende Person ist idealistisch.",0
"The reformers are idealistic.","Reformer sind idealistisch.",1
"The reformers are idealistic.","Reformpersonen sind idealistisch.",0
"The colleague is supportive.","Der Kollege ist unterstützend.",1
"The colleague is supportive.","Die Kollegschaft ist unterstützend.",0
"The colleagues are supportive.","Kollegen sind unterstützend.",1
"The colleagues are supportive.","Das Kollegium ist unterstützend.",0
"The course participant is attentive.","Der Kursteilnehmer ist aufmerksam.",1
"The course participant is attentive.","Die am Kurs teilnehmende Person ist aufmerksam.",0
"The course participants are attentive.","Kursteilnehmer sind aufmerksam.",1
"The course participants are attentive.","Am Kurs teilnehmende Personen sind aufmerksam.",0
"The patient is recovering.","Der Patient erholt sich.",1
"The patient is recovering.","Die zu behandelnde Person erholt sich.",0
"The patients are recovering.","Patienten erholen sich.",1
"The patients are recovering.","Kranke Personen erholen sich.",0
"The mountaineer is experienced.","Der Bergsteiger ist erfahren.",1
"The mountaineer is experienced.","Die bergbegeisterte Person ist erfahren.",0
"The mountaineers are experienced.","Bergsteiger sind erfahren.",1
"The mountaineers are experienced.","Bergbegeisterte Personen sind erfahren.",0
"The day carer is patient.","Die Kindertagepflegerin ist geduldig.",1
"The day carer is patient.","Die Kindertagespflegeperson ist geduldig.",0
"The day carers are patient.","Kindertagepfleger sind geduldig.",1
"The day carers are patient.","Kindertagespflegepersonen sind geduldig.",0
"The ceramist is meticulous.","Die Keramikerin ist sorgfältig.",1
"The ceramist is meticulous.","Die Keramikfachkraft ist sorgfältig.",0
"The ceramists are meticulous.","Keramiker sind sorgfältig.",1
"The ceramists are meticulous.","Keramikfachkräfte sind sorgfältig.",0
"The pacifist is principled.","Der Pazifist ist prinzipientreu.",1
"The pacifist is principled.","Friedensbewegte sind prinzipientreu.",0
"The pacifists are principled.","Pazifisten sind prinzipientreu.",1
"The pacifists are principled.","Friedensbewegte sind prinzipientreu.",0
"The signee is hesitant.","Die Unterzeichnerin ist zögerlich.",1
"The signee is hesitant.","Die unterzeichnende Person ist zögerlich.",0
"The signees are hesitant.","Unterzeichner sind zögerlich.",1
"The signees are hesitant.","Unterzeichnende Parteien sind zögerlich.",0
"The counsellor is perceptive.","Die Beraterin ist einfühlsam.",1
"The counsellor is perceptive.","Die beratende Person ist einfühlsam.",0
"The counsellors are perceptive.","Berater sind einfühlsam.",1
"The counsellors are perceptive.","Beratende Personen sind einfühlsam.",0
"The contractor is reliable.","Der Auftragnehmer ist zuverlässig.",1
"The contractor is reliable.","Die auftragnehmende Person ist zuverlässig.",0
"The contractors are reliable.","Auftragnehmer sind zuverlässig.",1
"The contractors are reliable.","Auftragnehmende Firmen sind zuverlässig.",0
"The coordinator is organized.","Die Koordinatorin ist organisiert.",1
"The coordinator is organized.","Die Koordination ist organisiert.",0
"The coordinators are organized.","Koordinatoren sind organisiert.",1
"The coordinators are organized.","Koordinationen sind organisiert.",0
"The employee is punctual.","Die Beschäftigte ist pünktlich.",1
"The employee is punctual.","Die Arbeitskraft ist pünktlich.",0
"The employees are punctual.","Beschäftigte sind pünktlich.",1
"The employees are punctual.","Angestellte Personen sind pünktlich.",0
"The investor is cautious.","Die Investorin ist vorsichtig.",1
"The investor is cautious.","Die investierende Person ist vorsichtig.",0
"The investors are cautious.","Investoren sind vorsichtig.",1
"The investors are cautious.","Investierende Personen sind vorsichtig.",0
"The blogger is opinionated.","Die Bloggerin ist meinungsstark.",1
"The blogger is opinionated.","Die bloggende Person ist meinungsstark.",0
